id,found_academic,found_pdf,run_date
d862780529,Y,Y,2025-12-28
d1000288169,Y,Y,2025-12-28
d181657336,Y,Y,2025-12-28
d181661353,Y,Y,2025-12-28
d181677818,Y,Y,2025-12-28
d181833365,Y,Y,2025-12-28
d181850885,Y,Y,2025-12-28
d1003251240,Y,Y,2025-12-28
d1003260531,Y,Y,2025-12-28
d1003252648,Y,Y,2025-12-28
d1003980803,Y,Y,2025-12-28
d1004070451,Y,Y,2025-12-28
d1003693145,Y,Y,2025-12-28
d234076278,Y,Y,2025-12-28
d234076617,Y,Y,2025-12-28
d234076811,Y,Y,2025-12-28
d288390031,Y,Y,2025-12-28
d234085691,Y,Y,2025-12-28
d288412993,Y,Y,2025-12-28
d288412997,Y,Y,2025-12-28
d288414967,Y,Y,2025-12-28
d288435410,Y,Y,2025-12-28
d288632865,Y,Y,2025-12-28
d884485527,Y,Y,2025-12-28
d181674889,Y,Y,2025-12-28
d1003253634,Y,N,2025-12-28
d234090100,Y,Y,2025-12-28
d62118501,Y,N,2025-12-28
d1003248874,Y,N,2025-12-28
d309147771,Y,N,2025-12-28
d77557659,Y,N,2025-12-28
d62118213,Y,N,2025-12-28
d176964176,Y,N,2025-12-28
d898810072,Y,N,2025-12-28
d181760564,Y,N,2025-12-28
d1003056144,Y,N,2025-12-28
d1003055791,Y,N,2025-12-28
d1003216568,Y,Y,2025-12-28
d1003220145,Y,N,2025-12-28
d1003220097,Y,N,2025-12-28
d1003244919,Y,N,2025-12-28
d1003245318,Y,N,2025-12-28
d1003245067,Y,N,2025-12-28
d1003246400,Y,N,2025-12-28
d1003245781,Y,N,2025-12-28
d1003247718,Y,N,2025-12-28
d1003251767,Y,N,2025-12-28
d1003251897,Y,N,2025-12-28
d1003252009,Y,N,2025-12-28
d1003252501,Y,N,2025-12-28
d1003252040,Y,N,2025-12-28
d1003253682,Y,N,2025-12-28
d1003253893,Y,N,2025-12-28
d1003257208,Y,N,2025-12-28
d1003254350,Y,N,2025-12-28
d1003257306,Y,N,2025-12-28
d1003257697,Y,N,2025-12-28
d1003257579,Y,N,2025-12-28
d1003257996,Y,N,2025-12-28
d1003258304,Y,N,2025-12-28
d1003260013,Y,N,2025-12-28
d1003258785,Y,N,2025-12-28
d1003258940,Y,Y,2025-12-28
d189099955,Y,N,2025-12-28
d1003261045,Y,N,2025-12-28
d1003253108,N,N,2025-12-28
d233430454,Y,N,2025-12-28
d62117244,N,N,2025-12-28
d289179204,Y,N,2025-12-28
d62118876,N,N,2025-12-28
d62118906,N,N,2025-12-28
d77557722,N,N,2025-12-28
d62117328,N,N,2025-12-28
d62119138,N,N,2025-12-28
d62117332,N,N,2025-12-28
d62118606,N,N,2025-12-28
d62118817,N,N,2025-12-28
d62119153,N,N,2025-12-28
d187752911,N,N,2025-12-28
d62119063,N,N,2025-12-28
d861171715,N,N,2025-12-28
d884400840,N,N,2025-12-28
d861460433,N,N,2025-12-28
d181612264,N,N,2025-12-28
d181651957,N,N,2025-12-28
d902927542,N,N,2025-12-28
d181690200,N,N,2025-12-28
d181833418,N,N,2025-12-28
d181675932,N,N,2025-12-28
d1003219782,Y,Y,2025-12-28
d181901152,N,N,2025-12-28
d1003055335,N,N,2025-12-28
d1003246200,N,N,2025-12-28
d1003247708,N,N,2025-12-28
d1003248962,N,N,2025-12-28
d1003249135,N,N,2025-12-28
d1003250088,N,N,2025-12-28
d1003250846,N,N,2025-12-28
d1003251696,N,N,2025-12-28
d1003253707,N,N,2025-12-28
d1003251902,N,N,2025-12-28
d1003257343,N,N,2025-12-28
d1003257443,N,N,2025-12-28
d1003258677,N,N,2025-12-28
d1004475363,N,N,2025-12-28
d1003260181,N,N,2025-12-28
d234074459,N,N,2025-12-28
d234086916,N,N,2025-12-28
d1004517582,N,N,2025-12-28
d234088963,N,N,2025-12-28
d234095434,N,N,2025-12-28
d235818306,N,N,2025-12-28
d1005316807,N,N,2025-12-28
d940108801,N,N,2025-12-28
d1005702815,N,N,2025-12-28
d288388710,N,N,2025-12-28
d862780529,Y,Y,2025-12-29
d1000288169,Y,Y,2025-12-29
d181657336,Y,Y,2025-12-29
d181661353,Y,Y,2025-12-29
d181677818,Y,Y,2025-12-29
d181833365,Y,Y,2025-12-29
d181850885,Y,Y,2025-12-29
d1003251240,Y,Y,2025-12-29
d1003260531,Y,Y,2025-12-29
d1003252648,Y,Y,2025-12-29
d1003980803,Y,Y,2025-12-29
d1004070451,Y,Y,2025-12-29
d1003693145,Y,Y,2025-12-29
d234076278,Y,Y,2025-12-29
d234076617,Y,Y,2025-12-29
d234076811,Y,Y,2025-12-29
d288390031,Y,Y,2025-12-29
d234085691,Y,Y,2025-12-29
d288412993,Y,Y,2025-12-29
d288412997,Y,Y,2025-12-29
d288414967,Y,Y,2025-12-29
d288435410,Y,Y,2025-12-29
d288632865,Y,Y,2025-12-29
d884485527,Y,Y,2025-12-29
d181674889,Y,Y,2025-12-29
d1003253634,Y,N,2025-12-29
d234090100,Y,Y,2025-12-29
d62118501,Y,N,2025-12-29
d1003248874,Y,N,2025-12-29
d309147771,Y,N,2025-12-29
d77557659,Y,N,2025-12-29
d62118213,Y,N,2025-12-29
d176964176,Y,N,2025-12-29
d898810072,Y,N,2025-12-29
d181760564,Y,N,2025-12-29
d1003056144,Y,N,2025-12-29
d1003055791,Y,N,2025-12-29
d1003216568,Y,Y,2025-12-29
d1003220145,Y,N,2025-12-29
d1003220097,Y,N,2025-12-29
d1003244919,Y,N,2025-12-29
d1003245318,Y,N,2025-12-29
d1003245067,Y,N,2025-12-29
d1003246400,Y,N,2025-12-29
d1003245781,Y,N,2025-12-29
d1003247718,Y,N,2025-12-29
d1003251767,Y,N,2025-12-29
d1003251897,Y,N,2025-12-29
d1003252009,Y,N,2025-12-29
d1003252501,Y,N,2025-12-29
d1003252040,Y,N,2025-12-29
d1003253682,Y,N,2025-12-29
d1003253893,Y,N,2025-12-29
d1003257208,Y,N,2025-12-29
d1003254350,Y,N,2025-12-29
d1003257306,Y,N,2025-12-29
d1003257697,Y,N,2025-12-29
d1003257579,Y,N,2025-12-29
d1003257996,Y,N,2025-12-29
d1003258304,Y,N,2025-12-29
d1003260013,Y,N,2025-12-29
d1003258785,Y,N,2025-12-29
d1003258940,Y,Y,2025-12-29
d189099955,Y,N,2025-12-29
d1003261045,Y,N,2025-12-29
d1003253108,N,N,2025-12-29
d233430454,Y,N,2025-12-29
d62117244,N,N,2025-12-29
d289179204,Y,N,2025-12-29
d62118876,N,N,2025-12-29
d62118906,N,N,2025-12-29
d77557722,N,N,2025-12-29
d62117328,N,N,2025-12-29
d62119138,N,N,2025-12-29
d62117332,N,N,2025-12-29
d62118606,N,N,2025-12-29
d62118817,N,N,2025-12-29
d62119153,N,N,2025-12-29
d187752911,N,N,2025-12-29
d62119063,N,N,2025-12-29
d861171715,N,N,2025-12-29
d884400840,N,N,2025-12-29
d861460433,N,N,2025-12-29
d181612264,N,N,2025-12-29
d181651957,N,N,2025-12-29
d902927542,N,N,2025-12-29
d181690200,N,N,2025-12-29
d181833418,N,N,2025-12-29
d181675932,N,N,2025-12-29
d1003219782,Y,Y,2025-12-29
d181901152,N,N,2025-12-29
d1003055335,N,N,2025-12-29
d1003246200,N,N,2025-12-29
d1003247708,N,N,2025-12-29
d1003248962,N,N,2025-12-29
d1003249135,N,N,2025-12-29
d1003250088,N,N,2025-12-29
d1003250846,N,N,2025-12-29
d1003251696,N,N,2025-12-29
d1003253707,N,N,2025-12-29
d1003251902,N,N,2025-12-29
d1003257343,N,N,2025-12-29
d1003257443,N,N,2025-12-29
d1003258677,N,N,2025-12-29
d1004475363,N,N,2025-12-29
d1003260181,N,N,2025-12-29
d234074459,N,N,2025-12-29
d234086916,Y,Y,2025-12-29
d1004517582,N,N,2025-12-29
d234088963,N,N,2025-12-29
d234095434,N,N,2025-12-29
d235818306,N,N,2025-12-29
d1005316807,N,N,2025-12-29
d940108801,N,N,2025-12-29
d1005702815,N,N,2025-12-29
d288388710,N,N,2025-12-29
