id,run_date,found_academic,found_pdf,comment
d1000288169,2025-12-28,Y,Y,
d1003251240,2025-12-28,Y,Y,
d1003252648,2025-12-28,Y,Y,
d1003260531,2025-12-28,Y,Y,"다른논문, Seckel 증후군 환자의 전신마취경험 - 증례보고 -"
d1003693145,2025-12-28,Y,Y,
d1003980803,2025-12-28,Y,Y,
d1004070451,2025-12-28,Y,Y,
d181657336,2025-12-28,Y,Y,
d181661353,2025-12-28,Y,Y,
d181674889,2025-12-28,Y,Y,"다른논문, 의과대학생과 전공의를 위한 전문가적 행동규범 도출 - 한국의학교육학회"
d181677818,2025-12-28,Y,Y,
d181833365,2025-12-28,Y,Y,
d181850885,2025-12-28,Y,Y,
d234076278,2025-12-28,Y,Y,
d234076617,2025-12-28,Y,Y,
d234076811,2025-12-28,Y,Y,
d234085691,2025-12-28,Y,Y,
d234090100,2025-12-28,Y,Y,
d288390031,2025-12-28,Y,Y,
d288412993,2025-12-28,Y,Y,
d288412997,2025-12-28,Y,Y,
d288414967,2025-12-28,Y,Y,
d288435410,2025-12-28,Y,Y,
d288632865,2025-12-28,Y,Y,
d862780529,2025-12-28,Y,Y,
d884485527,2025-12-28,Y,Y,"다른논문, HIRA Research의 도약 - 건강보험심사평가원"
d1003055791,2025-12-28,Y,N,
d1003056144,2025-12-28,Y,N,
d1003216568,2025-12-28,Y,Y,
d1003220097,2025-12-28,Y,N,
d1003220145,2025-12-28,Y,N,
d1003244919,2025-12-28,Y,N,
d1003245067,2025-12-28,Y,N,
d1003245318,2025-12-28,Y,N,
d1003245781,2025-12-28,Y,N,
d1003246400,2025-12-28,Y,N,
d1003247718,2025-12-28,Y,N,
d1003248874,2025-12-28,Y,N,"다른논문, 고령화시대 국민건강보험의 발전방향 - 강원대학교 비교법학연구소"
d1003251767,2025-12-28,Y,N,
d1003251897,2025-12-28,Y,N,
d1003252009,2025-12-28,Y,N,
d1003252040,2025-12-28,Y,N,
d1003252501,2025-12-28,Y,N,
d1003253634,2025-12-28,Y,N,"다른논문, 급성기 뇌졸중 환자의 삶의 질에 영향을 미치는 요인 - 대한인지재활학회"
d1003253682,2025-12-28,Y,N,
d1003253893,2025-12-28,Y,N,
d1003254350,2025-12-28,Y,N,
d1003257208,2025-12-28,Y,N,
d1003257306,2025-12-28,Y,N,
d1003257579,2025-12-28,Y,N,
d1003257697,2025-12-28,Y,N,
d1003257996,2025-12-28,Y,N,
d1003258304,2025-12-28,Y,N,
d1003258785,2025-12-28,Y,N,
d1003258940,2025-12-28,Y,Y,"다른논문, 단일 기관에서 교환이식 프로그램을 이용한 배우자간 신장이식 및 부부간 "
d1003260013,2025-12-28,Y,N,
d1003261045,2025-12-28,Y,N,
d176964176,2025-12-28,Y,N,
d181760564,2025-12-28,Y,N,
d189099955,2025-12-28,Y,N,
d233430454,2025-12-28,Y,N,
d289179204,2025-12-28,Y,N,
d309147771,2025-12-28,Y,N,"다른논문, 고령 운전자를 위한 조건부 운전면허제도 개선방향 연구 - 한국ITS학회"
d62118213,2025-12-28,Y,N,
d62118501,2025-12-28,Y,N,"다른논문, 뉴타운사업의 합리적 추진방안 연구 - 국토연구원"
d77557659,2025-12-28,Y,N,
d898810072,2025-12-28,Y,N,
d1003055335,2025-12-28,N,N,
d1003219782,2025-12-28,Y,Y,"다른논문, 상급종합병원 간호사의 연령차별주의와 간호근무환경이 노인간호수행에 "
d1003246200,2025-12-28,N,N,
d1003247708,2025-12-28,N,N,
d1003248962,2025-12-28,N,N,
d1003249135,2025-12-28,N,N,
d1003250088,2025-12-28,N,N,
d1003250846,2025-12-28,N,N,
d1003251696,2025-12-28,N,N,
d1003251902,2025-12-28,N,N,
d1003253108,2025-12-28,N,N,
d1003253707,2025-12-28,N,N,
d1003257343,2025-12-28,N,N,
d1003257443,2025-12-28,N,N,
d1003258677,2025-12-28,N,N,
d1003260181,2025-12-28,N,N,
d1004475363,2025-12-28,N,N,
d1004517582,2025-12-28,N,N,
d1005316807,2025-12-28,N,N,
d1005702815,2025-12-28,N,N,
d181612264,2025-12-28,N,N,
d181651957,2025-12-28,N,N,
d181675932,2025-12-28,N,N,
d181690200,2025-12-28,N,N,
d181833418,2025-12-28,N,N,
d181901152,2025-12-28,N,N,
d187752911,2025-12-28,N,N,
d234074459,2025-12-28,N,N,
d234086916,2025-12-28,N,N,제안검색 수정
d234088963,2025-12-28,N,N,
d234095434,2025-12-28,N,N,
d235818306,2025-12-28,N,N,
d288388710,2025-12-28,N,N,
d62117244,2025-12-28,N,N,
d62117328,2025-12-28,N,N,
d62117332,2025-12-28,N,N,
d62118606,2025-12-28,N,N,
d62118817,2025-12-28,N,N,
d62118876,2025-12-28,N,N,
d62118906,2025-12-28,N,N,
d62119063,2025-12-28,N,N,
d62119138,2025-12-28,N,N,
d62119153,2025-12-28,N,N,
d77557722,2025-12-28,N,N,
d861171715,2025-12-28,N,N,
d861460433,2025-12-28,N,N,
d884400840,2025-12-28,N,N,
d902927542,2025-12-28,N,N,
d940108801,2025-12-28,N,N,
d1000288169,2025-12-29,Y,Y,
d1003251240,2025-12-29,Y,Y,
d1003252648,2025-12-29,Y,Y,
d1003260531,2025-12-29,Y,Y,"다른논문, Seckel 증후군 환자의 전신마취경험 - 증례보고 -"
d1003693145,2025-12-29,Y,Y,
d1003980803,2025-12-29,Y,Y,
d1004070451,2025-12-29,Y,Y,
d181657336,2025-12-29,Y,Y,
d181661353,2025-12-29,Y,Y,
d181674889,2025-12-29,Y,Y,"다른논문, 의과대학생과 전공의를 위한 전문가적 행동규범 도출 - 한국의학교육학회"
d181677818,2025-12-29,Y,Y,
d181833365,2025-12-29,Y,Y,
d181850885,2025-12-29,Y,Y,
d234076278,2025-12-29,Y,Y,
d234076617,2025-12-29,Y,Y,
d234076811,2025-12-29,Y,Y,
d234085691,2025-12-29,Y,Y,
d234090100,2025-12-29,Y,Y,
d288390031,2025-12-29,Y,Y,
d288412993,2025-12-29,Y,Y,
d288412997,2025-12-29,Y,Y,
d288414967,2025-12-29,Y,Y,
d288435410,2025-12-29,Y,Y,
d288632865,2025-12-29,Y,Y,
d862780529,2025-12-29,Y,Y,
d884485527,2025-12-29,Y,Y,"다른논문, HIRA Research의 도약 - 건강보험심사평가원"
d1003055791,2025-12-29,Y,N,
d1003056144,2025-12-29,Y,N,
d1003216568,2025-12-29,Y,Y,
d1003220097,2025-12-29,Y,N,
d1003220145,2025-12-29,Y,N,
d1003244919,2025-12-29,Y,N,
d1003245067,2025-12-29,Y,N,
d1003245318,2025-12-29,Y,N,
d1003245781,2025-12-29,Y,N,
d1003246400,2025-12-29,Y,N,
d1003247718,2025-12-29,Y,N,
d1003248874,2025-12-29,Y,N,"다른논문, 고령화시대 국민건강보험의 발전방향 - 강원대학교 비교법학연구소"
d1003251767,2025-12-29,Y,N,
d1003251897,2025-12-29,Y,N,
d1003252009,2025-12-29,Y,N,
d1003252040,2025-12-29,Y,N,
d1003252501,2025-12-29,Y,N,
d1003253634,2025-12-29,Y,N,"다른논문, 급성기 뇌졸중 환자의 삶의 질에 영향을 미치는 요인 - 대한인지재활학회"
d1003253682,2025-12-29,Y,N,
d1003253893,2025-12-29,Y,N,
d1003254350,2025-12-29,Y,N,
d1003257208,2025-12-29,Y,N,
d1003257306,2025-12-29,Y,N,
d1003257579,2025-12-29,Y,N,
d1003257697,2025-12-29,Y,N,
d1003257996,2025-12-29,Y,N,
d1003258304,2025-12-29,Y,N,
d1003258785,2025-12-29,Y,N,
d1003258940,2025-12-29,Y,Y,"다른논문, 단일 기관에서 교환이식 프로그램을 이용한 배우자간 신장이식 및 부부간 "
d1003260013,2025-12-29,Y,N,
d1003261045,2025-12-29,Y,N,
d176964176,2025-12-29,Y,N,
d181760564,2025-12-29,Y,N,
d189099955,2025-12-29,Y,N,
d233430454,2025-12-29,Y,N,
d289179204,2025-12-29,Y,N,
d309147771,2025-12-29,Y,N,"다른논문, 고령 운전자를 위한 조건부 운전면허제도 개선방향 연구 - 한국ITS학회"
d62118213,2025-12-29,Y,N,
d62118501,2025-12-29,Y,N,"다른논문, 뉴타운사업의 합리적 추진방안 연구 - 국토연구원"
d77557659,2025-12-29,Y,N,
d898810072,2025-12-29,Y,N,
d1003055335,2025-12-29,N,N,
d1003219782,2025-12-29,Y,Y,"다른논문, 상급종합병원 간호사의 연령차별주의와 간호근무환경이 노인간호수행에 "
d1003246200,2025-12-29,N,N,
d1003247708,2025-12-29,N,N,
d1003248962,2025-12-29,N,N,
d1003249135,2025-12-29,N,N,
d1003250088,2025-12-29,N,N,
d1003250846,2025-12-29,N,N,
d1003251696,2025-12-29,N,N,
d1003251902,2025-12-29,N,N,
d1003253108,2025-12-29,N,N,
d1003253707,2025-12-29,N,N,
d1003257343,2025-12-29,N,N,
d1003257443,2025-12-29,N,N,
d1003258677,2025-12-29,N,N,
d1003260181,2025-12-29,N,N,
d1004475363,2025-12-29,N,N,
d1004517582,2025-12-29,N,N,
d1005316807,2025-12-29,N,N,
d1005702815,2025-12-29,N,N,
d181612264,2025-12-29,N,N,
d181651957,2025-12-29,N,N,
d181675932,2025-12-29,N,N,
d181690200,2025-12-29,N,N,
d181833418,2025-12-29,N,N,
d181901152,2025-12-29,N,N,
d187752911,2025-12-29,N,N,
d234074459,2025-12-29,N,N,
d234086916,2025-12-29,Y,Y,제안검색 수정
d234088963,2025-12-29,N,N,
d234095434,2025-12-29,N,N,
d235818306,2025-12-29,N,N,
d288388710,2025-12-29,N,N,
d62117244,2025-12-29,N,N,
d62117328,2025-12-29,N,N,
d62117332,2025-12-29,N,N,
d62118606,2025-12-29,N,N,
d62118817,2025-12-29,N,N,
d62118876,2025-12-29,N,N,
d62118906,2025-12-29,N,N,
d62119063,2025-12-29,N,N,
d62119138,2025-12-29,N,N,
d62119153,2025-12-29,N,N,
d77557722,2025-12-29,N,N,
d861171715,2025-12-29,N,N,
d861460433,2025-12-29,N,N,
d884400840,2025-12-29,N,N,
d902927542,2025-12-29,N,N,
d940108801,2025-12-29,N,N,
d1000288169,2025-12-31,Y,Y,
d1003251240,2025-12-31,Y,Y,
d1003252648,2025-12-31,Y,Y,
d1003260531,2025-12-31,Y,Y,"다른논문, Seckel 증후군 환자의 전신마취경험 - 증례보고 -"
d1003693145,2025-12-31,Y,Y,
d1003980803,2025-12-31,Y,Y,
d1004070451,2025-12-31,Y,Y,
d181657336,2025-12-31,Y,Y,
d181661353,2025-12-31,Y,Y,
d181674889,2025-12-31,Y,Y,"다른논문, 의과대학생과 전공의를 위한 전문가적 행동규범 도출 - 한국의학교육학회"
d181677818,2025-12-31,Y,Y,
d181833365,2025-12-31,Y,Y,
d181850885,2025-12-31,Y,Y,
d234076278,2025-12-31,Y,Y,
d234076617,2025-12-31,Y,Y,
d234076811,2025-12-31,Y,Y,
d234085691,2025-12-31,Y,Y,
d234090100,2025-12-31,Y,Y,
d288390031,2025-12-31,Y,Y,
d288412993,2025-12-31,Y,Y,
d288412997,2025-12-31,Y,Y,
d288414967,2025-12-31,Y,Y,
d288435410,2025-12-31,Y,Y,
d288632865,2025-12-31,Y,Y,
d862780529,2025-12-31,Y,Y,
d884485527,2025-12-31,Y,Y,"다른논문, HIRA Research의 도약 - 건강보험심사평가원"
d1003055791,2025-12-31,Y,N,
d1003056144,2025-12-31,Y,N,
d1003216568,2025-12-31,Y,Y,
d1003220097,2025-12-31,Y,N,
d1003220145,2025-12-31,Y,N,
d1003244919,2025-12-31,Y,N,
d1003245067,2025-12-31,Y,N,
d1003245318,2025-12-31,Y,N,
d1003245781,2025-12-31,Y,N,
d1003246400,2025-12-31,Y,N,
d1003247718,2025-12-31,Y,N,
d1003248874,2025-12-31,Y,N,"다른논문, 고령화시대 국민건강보험의 발전방향 - 강원대학교 비교법학연구소"
d1003251767,2025-12-31,Y,N,
d1003251897,2025-12-31,Y,N,
d1003252009,2025-12-31,Y,N,
d1003252040,2025-12-31,Y,N,
d1003252501,2025-12-31,Y,N,
d1003253634,2025-12-31,Y,N,"다른논문, 급성기 뇌졸중 환자의 삶의 질에 영향을 미치는 요인 - 대한인지재활학회"
d1003253682,2025-12-31,Y,N,
d1003253893,2025-12-31,Y,N,
d1003254350,2025-12-31,Y,N,
d1003257208,2025-12-31,Y,N,
d1003257306,2025-12-31,Y,N,
d1003257579,2025-12-31,Y,N,
d1003257697,2025-12-31,Y,N,
d1003257996,2025-12-31,Y,N,
d1003258304,2025-12-31,Y,N,
d1003258785,2025-12-31,Y,N,
d1003258940,2025-12-31,Y,Y,"다른논문, 단일 기관에서 교환이식 프로그램을 이용한 배우자간 신장이식 및 부부간 "
d1003260013,2025-12-31,Y,N,
d1003261045,2025-12-31,Y,N,
d176964176,2025-12-31,Y,N,
d181760564,2025-12-31,Y,N,
d189099955,2025-12-31,Y,N,
d233430454,2025-12-31,Y,N,
d289179204,2025-12-31,Y,N,
d309147771,2025-12-31,Y,N,"다른논문, 고령 운전자를 위한 조건부 운전면허제도 개선방향 연구 - 한국ITS학회"
d62118213,2025-12-31,Y,N,
d62118501,2025-12-31,Y,N,"다른논문, 뉴타운사업의 합리적 추진방안 연구 - 국토연구원"
d77557659,2025-12-31,Y,N,
d898810072,2025-12-31,Y,N,
d1003055335,2025-12-31,N,N,
d1003219782,2025-12-31,Y,Y,"다른논문, 상급종합병원 간호사의 연령차별주의와 간호근무환경이 노인간호수행에 "
d1003246200,2025-12-31,N,N,
d1003247708,2025-12-31,N,N,
d1003248962,2025-12-31,N,N,
d1003249135,2025-12-31,N,N,
d1003250088,2025-12-31,N,N,
d1003250846,2025-12-31,N,N,
d1003251696,2025-12-31,N,N,
d1003251902,2025-12-31,N,N,
d1003253108,2025-12-31,N,N,
d1003253707,2025-12-31,N,N,
d1003257343,2025-12-31,N,N,
d1003257443,2025-12-31,N,N,
d1003258677,2025-12-31,N,N,
d1003260181,2025-12-31,N,N,
d1004475363,2025-12-31,N,N,
d1004517582,2025-12-31,N,N,
d1005316807,2025-12-31,N,N,
d1005702815,2025-12-31,N,N,
d181612264,2025-12-31,N,N,
d181651957,2025-12-31,N,N,
d181675932,2025-12-31,N,N,
d181690200,2025-12-31,N,N,
d181833418,2025-12-31,N,N,
d181901152,2025-12-31,N,N,
d187752911,2025-12-31,N,N,
d234074459,2025-12-31,N,N,
d234086916,2025-12-31,Y,Y,제안검색 수정
d234088963,2025-12-31,N,N,
d234095434,2025-12-31,N,N,
d235818306,2025-12-31,N,N,
d288388710,2025-12-31,N,N,
d62117244,2025-12-31,N,N,
d62117328,2025-12-31,N,N,
d62117332,2025-12-31,N,N,
d62118606,2025-12-31,N,N,
d62118817,2025-12-31,N,N,
d62118876,2025-12-31,N,N,
d62118906,2025-12-31,N,N,
d62119063,2025-12-31,N,N,
d62119138,2025-12-31,N,N,
d62119153,2025-12-31,N,N,
d77557722,2025-12-31,N,N,
d861171715,2025-12-31,N,N,
d861460433,2025-12-31,N,N,
d884400840,2025-12-31,N,N,
d902927542,2025-12-31,N,N,
d940108801,2025-12-31,N,N,
